IntensityIn IntensityOut Luminance
2.491798275730525702e-01 5.960784313725490113e-01 1.265333333333333456e+02
2.539406424048218369e-01 5.999999999999999778e-01 1.286333333333333258e+02
2.581521324483100899e-01 6.039215686274509443e-01 1.311666666666666572e+02
2.632333867399099803e-01 6.078431372549019107e-01 1.333666666666666742e+02
2.676432440680552305e-01 6.117647058823529882e-01 1.355999999999999943e+02
2.721293965056839625e-01 6.156862745098039547e-01 1.381666666666666572e+02
2.772869459067673903e-01 6.196078431372549211e-01 1.409666666666666686e+02
2.829022659647516535e-01 6.235294117647058876e-01 1.429000000000000057e+02
2.867780575265125309e-01 6.274509803921568540e-01 1.450999999999999943e+02
2.911879148546578366e-01 6.313725490196078205e-01 1.481333333333333258e+02
2.972762645914396873e-01 6.352941176470587870e-01 1.505666666666666913e+02
3.021591515983825249e-01 6.392156862745097534e-01 1.531666666666666572e+02
3.073777370870527381e-01 6.431372549019607199e-01 1.552666666666666799e+02
3.115892271305409356e-01 6.470588235294117974e-01 1.580000000000000000e+02
3.170824750133516279e-01 6.509803921568627638e-01 1.600666666666666913e+02
3.212329289692530954e-01 6.549019607843137303e-01 1.635666666666666629e+02
3.282520790417334244e-01 6.588235294117646967e-01 1.662666666666666799e+02
3.336690318150606349e-01 6.627450980392156632e-01 1.683000000000000114e+02
3.377584496833753169e-01 6.666666666666666297e-01 1.708333333333333428e+02
3.428397039749752073e-01 6.705882352941175961e-01 1.733333333333333428e+02
3.478599221789883122e-01 6.745098039215686736e-01 1.761666666666666572e+02
3.535362783245594165e-01 6.784313725490196401e-01 1.791999999999999602e+02
3.596246280613412671e-01 6.823529411764706065e-01 1.820333333333333314e+02
3.653162432288090122e-01 6.862745098039215730e-01 1.847666666666666515e+02
3.707942320897230637e-01 6.901960784313725394e-01 1.873666666666666458e+02
3.760128175783932214e-01 6.941176470588235059e-01 1.900000000000000000e+02
3.813076981765468609e-01 6.980392156862744724e-01 1.937999999999999829e+02
3.889219501029984039e-01 7.019607843137254388e-01 1.960000000000000000e+02
3.933470664530403504e-01 7.058823529411764053e-01 1.993666666666666742e+02
4.000915541313802004e-01 7.098039215686274828e-01 2.015999999999999943e+02
4.045777065690089325e-01 7.137254901960784492e-01 2.049333333333333087e+02
4.112764171816586378e-01 7.176470588235294157e-01 2.079333333333333087e+02
4.172884718089570621e-01 7.215686274509803821e-01 2.111666666666666572e+02
4.237735561150530184e-01 7.254901960784313486e-01 2.141333333333333258e+02
4.297398336766613536e-01 7.294117647058823151e-01 2.171333333333333258e+02
4.357518883039597224e-01 7.333333333333332815e-01 2.201333333333333258e+02
4.417792019531547876e-01 7.372549019607843590e-01 2.232333333333333485e+02
4.479896238651102647e-01 7.411764705882353255e-01 2.269000000000000057e+02
4.553597314412146102e-01 7.450980392156862919e-01 2.297999999999999829e+02
